metric,exp_id,reading,arm,value
revenue_per_user,0,long,control,5.1781383
revenue_per_user,0,long,control,3.2305903
revenue_per_user,0,long,control,7.0710278
revenue_per_user,0,long,control,1.4292693
revenue_per_user,0,long,control,3.4317052
revenue_per_user,0,long,control,5.0519667
revenue_per_user,0,long,control,4.487403
revenue_per_user,0,long,control,4.725554
revenue_per_user,0,long,control,2.441786
revenue_per_user,0,long,control,1.8788316
revenue_per_user,0,long,control,14.644307
revenue_per_user,0,long,control,4.3310385
revenue_per_user,0,long,control,4.798118
revenue_per_user,0,long,control,114.6515
revenue_per_user,0,long,control,3.3196025
revenue_per_user,0,long,control,83.43554
revenue_per_user,0,long,control,42.398586
revenue_per_user,0,long,control,6.0179553
revenue_per_user,0,long,control,4.871095
revenue_per_user,0,long,control,5.3225393
revenue_per_user,0,long,control,2.7897255
revenue_per_user,0,long,control,5.3591194
revenue_per_user,0,long,control,2.9505653
revenue_per_user,0,long,control,47.869137
revenue_per_user,0,long,control,6.4383187
revenue_per_user,0,long,control,4.5221605
revenue_per_user,0,long,control,4.5204577
revenue_per_user,0,long,control,2.7507322
revenue_per_user,0,long,control,3.6407797
revenue_per_user,0,long,control,5.1199007
revenue_per_user,0,long,control,6.080837
revenue_per_user,0,long,control,1.1593605
revenue_per_user,0,long,control,5.0934253
revenue_per_user,0,long,control,13.997596
revenue_per_user,0,long,control,5.2693615
revenue_per_user,0,long,control,6.5105963
revenue_per_user,0,long,control,12.741982
revenue_per_user,0,long,control,6.63206
revenue_per_user,0,long,control,5.579517
revenue_per_user,0,long,control,7.480992
revenue_per_user,0,long,control,7.253396
revenue_per_user,0,long,control,43.222942
revenue_per_user,0,long,control,7.8870196
revenue_per_user,0,long,control,7.2390056
revenue_per_user,0,long,control,3.2199998
revenue_per_user,0,long,control,10.876996
revenue_per_user,0,long,control,3.742582
revenue_per_user,0,long,control,5.745863
revenue_per_user,0,long,control,2.922824
revenue_per_user,0,long,control,8.318769
revenue_per_user,0,long,control,5.7565813
revenue_per_user,0,long,control,2.633501
revenue_per_user,0,long,control,77.06727
revenue_per_user,0,long,control,9.394053
revenue_per_user,0,long,control,6.415832
revenue_per_user,0,long,control,7.5409656
revenue_per_user,0,long,control,6.737442
revenue_per_user,0,long,control,3.1069546
revenue_per_user,0,long,control,2.154282
revenue_per_user,0,long,control,5.562352
revenue_per_user,0,long,control,7.2624354
revenue_per_user,0,long,control,19.766205
revenue_per_user,0,long,control,5.17038
revenue_per_user,0,long,control,2.149311
revenue_per_user,0,long,control,3.1298208
revenue_per_user,0,long,control,6.8077025
revenue_per_user,0,long,control,5.183469
revenue_per_user,0,long,control,9.873662
revenue_per_user,0,long,control,5.733034
revenue_per_user,0,long,control,10.5221615
revenue_per_user,0,long,control,6.5777597
revenue_per_user,0,long,control,2.8406346
revenue_per_user,0,long,control,46.38703
revenue_per_user,0,long,control,6.238676
revenue_per_user,0,long,control,4.8221016
revenue_per_user,0,long,control,9.430725
revenue_per_user,0,long,control,8.089033
revenue_per_user,0,long,control,2.762033
revenue_per_user,0,long,control,4.255807
revenue_per_user,0,long,control,3.413867
revenue_per_user,0,long,control,3.914369
revenue_per_user,0,long,control,5.3205314
revenue_per_user,0,long,control,5.9387712
revenue_per_user,0,long,control,4.0745068
revenue_per_user,0,long,control,3.7922475
revenue_per_user,0,long,control,7.284252
revenue_per_user,0,long,control,5.8299255
revenue_per_user,0,long,control,33.742466
revenue_per_user,0,long,control,21.725245
revenue_per_user,0,long,control,5.9973836
revenue_per_user,0,long,control,3.8898628
revenue_per_user,0,long,control,3.7097816
revenue_per_user,0,long,control,5.4058056
revenue_per_user,0,long,control,6.0630503
revenue_per_user,0,long,control,1.5861964
revenue_per_user,0,long,control,33.213795
revenue_per_user,0,long,control,8.445303
revenue_per_user,0,long,control,5.4821434
revenue_per_user,0,long,control,5.9213495
revenue_per_user,0,long,control,5.343579
revenue_per_user,0,long,control,5.2081566
revenue_per_user,0,long,control,5.9617257
revenue_per_user,0,long,control,5.192549
revenue_per_user,0,long,control,3.9810593
revenue_per_user,0,long,control,8.787233
revenue_per_user,0,long,control,2.3558574
revenue_per_user,0,long,control,4.129338
revenue_per_user,0,long,control,11.843654
revenue_per_user,0,long,control,4.2750306
revenue_per_user,0,long,control,6.162541
revenue_per_user,0,long,control,14.288202
revenue_per_user,0,long,control,6.657911
revenue_per_user,0,long,control,5.1527114
revenue_per_user,0,long,control,4.665644
revenue_per_user,0,long,control,11.233313
revenue_per_user,0,long,control,7.889452
revenue_per_user,0,long,control,4.2718034
revenue_per_user,0,long,control,6.8418827
revenue_per_user,0,long,control,50.625263
revenue_per_user,0,long,control,5.396354
revenue_per_user,0,long,control,9.3985405
revenue_per_user,0,long,control,5.1848288
revenue_per_user,0,long,control,24.670475
revenue_per_user,0,long,control,4.2346635
revenue_per_user,0,long,control,7.1618376
revenue_per_user,0,long,control,4.1127305
revenue_per_user,0,long,control,5.636082
revenue_per_user,0,long,control,9.969697
revenue_per_user,0,long,control,9.133834
revenue_per_user,0,long,control,3.820368
revenue_per_user,0,long,control,6.5415263
revenue_per_user,0,long,control,5.9642644
revenue_per_user,0,long,control,24.700165
revenue_per_user,0,long,control,6.8390193
revenue_per_user,0,long,control,5.0634565
revenue_per_user,0,long,control,8.862124
revenue_per_user,0,long,control,5.117427
revenue_per_user,0,long,control,4.2795453
revenue_per_user,0,long,control,4.1153693
revenue_per_user,0,long,control,3.262858
revenue_per_user,0,long,control,1.6629877
revenue_per_user,0,long,control,6.0236206
revenue_per_user,0,long,control,4.8973045
revenue_per_user,0,long,control,5.413002
revenue_per_user,0,long,control,6.0969787
revenue_per_user,0,long,control,4.352312
revenue_per_user,0,long,control,1.91609
revenue_per_user,0,long,control,34.197002
revenue_per_user,0,long,control,8.8835335
revenue_per_user,0,long,control,12.427888
revenue_per_user,0,long,control,4.4972887
revenue_per_user,0,long,control,9.873959
revenue_per_user,0,long,control,1.8726187
revenue_per_user,0,long,control,11.690337
revenue_per_user,0,long,control,8.004683
revenue_per_user,0,long,control,8.098201
revenue_per_user,0,long,control,3.5963483
revenue_per_user,0,long,control,2.9820879
revenue_per_user,0,long,control,5.9069953
revenue_per_user,0,long,control,15.661472
revenue_per_user,0,long,control,3.0400088
revenue_per_user,0,long,control,1.9311508
revenue_per_user,0,long,control,4.3787575
revenue_per_user,0,long,control,8.436359
revenue_per_user,0,long,control,12.515149
revenue_per_user,0,long,control,3.008761
revenue_per_user,0,long,control,7.8049393
revenue_per_user,0,long,control,1.9964947
revenue_per_user,0,long,control,1.8950269
revenue_per_user,0,long,control,7.694224
revenue_per_user,0,long,control,8.011377
revenue_per_user,0,long,control,18.734081
revenue_per_user,0,long,control,60.529255
revenue_per_user,0,long,control,3.256368
revenue_per_user,0,long,control,3.7644591
revenue_per_user,0,long,control,10.950547
revenue_per_user,0,long,control,4.013916
revenue_per_user,0,long,control,5.046856
revenue_per_user,0,long,control,7.2965198
revenue_per_user,0,long,control,7.7131386
revenue_per_user,0,long,control,10.849769
revenue_per_user,0,long,control,4.788213
revenue_per_user,0,long,control,7.55844
revenue_per_user,0,long,control,5.6871715
revenue_per_user,0,long,control,4945.6333
revenue_per_user,0,long,control,5.7792435
revenue_per_user,0,long,control,3.3513439
revenue_per_user,0,long,control,11.509526
revenue_per_user,0,long,control,4.870514
revenue_per_user,0,long,control,2.3712323
revenue_per_user,0,long,control,11.164504
revenue_per_user,0,long,control,3.6970782
revenue_per_user,0,long,control,4.860621
revenue_per_user,0,long,control,9.109588
revenue_per_user,0,long,control,2.2333329
revenue_per_user,0,long,control,12.74449
revenue_per_user,0,long,control,3.1648326
revenue_per_user,0,long,control,7.147639
revenue_per_user,0,long,control,3.3625069
revenue_per_user,0,long,control,4.1542234
revenue_per_user,0,long,control,6.455565
revenue_per_user,0,long,control,4.973995
revenue_per_user,0,long,control,5.6366773
revenue_per_user,0,long,control,11.5032
revenue_per_user,0,long,control,3.6328015
revenue_per_user,0,long,control,5.4061427
revenue_per_user,0,long,control,11.664451
revenue_per_user,0,long,control,5.2829146
revenue_per_user,0,long,control,5.034714
revenue_per_user,0,long,control,2.817434
revenue_per_user,0,long,control,6.9046054
revenue_per_user,0,long,control,4.966237
revenue_per_user,0,long,control,4.7465706
revenue_per_user,0,long,control,9.446165
revenue_per_user,0,long,control,4.778081
revenue_per_user,0,long,control,4.4442835
revenue_per_user,0,long,control,8.761461
revenue_per_user,0,long,control,5.4757333
revenue_per_user,0,long,control,5.0181193
revenue_per_user,0,long,control,5.6760464
revenue_per_user,0,long,control,3.6322916
revenue_per_user,0,long,control,19.9837
revenue_per_user,0,long,control,3.2277417
revenue_per_user,0,long,control,37.873554
revenue_per_user,0,long,control,3.6927068
revenue_per_user,0,long,control,43.286182
revenue_per_user,0,long,control,2.267644
revenue_per_user,0,long,control,2.9694667
revenue_per_user,0,long,control,4.271205
revenue_per_user,0,long,control,14.440694
revenue_per_user,0,long,control,5.2248015
revenue_per_user,0,long,control,2.2892966
revenue_per_user,0,long,control,3.3223999
revenue_per_user,0,long,control,4.5453157
revenue_per_user,0,long,control,7.2323003
revenue_per_user,0,long,control,5.9210067
revenue_per_user,0,long,control,5.605086
revenue_per_user,0,long,control,4.5731435
revenue_per_user,0,long,control,4.4745584
revenue_per_user,0,long,control,6.457386
revenue_per_user,0,long,control,5.122772
revenue_per_user,0,long,control,2.8059323
revenue_per_user,0,long,control,5.0573487
revenue_per_user,0,long,control,22.00366
revenue_per_user,0,long,control,6.2178526
revenue_per_user,0,long,control,4.7044873
revenue_per_user,0,long,control,2.3726153
revenue_per_user,0,long,control,6.1501555
revenue_per_user,0,long,control,54.472008
revenue_per_user,0,long,control,4.0992846
revenue_per_user,0,long,control,14.493509
revenue_per_user,0,long,control,4.345321
revenue_per_user,0,long,control,2.459749
revenue_per_user,0,long,control,3.676467
revenue_per_user,0,long,control,2.5202909
revenue_per_user,0,long,control,3.463894
revenue_per_user,0,long,control,8.000537
revenue_per_user,0,long,control,4.523677
revenue_per_user,0,long,control,1.7824332
revenue_per_user,0,long,control,4.6409593
revenue_per_user,0,long,control,8.487057
revenue_per_user,0,long,control,2.743946
revenue_per_user,0,long,control,7.5455923
revenue_per_user,0,long,control,2.7966156
revenue_per_user,0,long,control,2.8850274
revenue_per_user,0,long,control,6.1501713
revenue_per_user,0,long,control,2.5158648
revenue_per_user,0,long,control,18.130146
revenue_per_user,0,long,control,6.0245943
revenue_per_user,0,long,control,3.3979657
revenue_per_user,0,long,control,4.5280128
revenue_per_user,0,long,control,13.118655
revenue_per_user,0,long,control,6.1758933
revenue_per_user,0,long,control,3.2505572
revenue_per_user,0,long,control,4.1001363
revenue_per_user,0,long,control,5.1201196
revenue_per_user,0,long,control,3.9573047
revenue_per_user,0,long,control,16.061218
revenue_per_user,0,long,control,4.134345
revenue_per_user,0,long,control,3.6919978
revenue_per_user,0,long,control,5.7945905
revenue_per_user,0,long,control,7.921626
revenue_per_user,0,long,control,7.280876
revenue_per_user,0,long,control,3.9917104
revenue_per_user,0,long,control,7.060954
revenue_per_user,0,long,control,6.3949647
revenue_per_user,0,long,control,34.421333
revenue_per_user,0,long,control,2.3044293
revenue_per_user,0,long,control,2.3706243
revenue_per_user,0,long,control,3.5625274
revenue_per_user,0,long,control,4.0512447
revenue_per_user,0,long,control,18.386457
revenue_per_user,0,long,control,6.850531
revenue_per_user,0,long,control,8.148747
revenue_per_user,0,long,control,3.7280796
revenue_per_user,0,long,control,9.86909
revenue_per_user,0,long,control,3.8505156
revenue_per_user,0,long,control,5.1655455
revenue_per_user,0,long,control,5.917562
revenue_per_user,0,long,control,4.545074
revenue_per_user,0,long,control,4.1995687
revenue_per_user,0,long,control,13.806679
revenue_per_user,0,long,control,3.7856581
revenue_per_user,0,long,control,6.312819
revenue_per_user,0,long,control,6.2387958
revenue_per_user,0,long,control,6.685943
revenue_per_user,0,long,control,6.826405
revenue_per_user,0,long,control,3.2795377
revenue_per_user,0,long,control,3.911324
revenue_per_user,0,long,control,13.537774
revenue_per_user,0,long,control,4.041089
revenue_per_user,0,long,control,5.8209314
revenue_per_user,0,long,control,11.865133
revenue_per_user,0,long,control,2.493629
revenue_per_user,0,long,control,9.8951845
revenue_per_user,0,long,control,2.8984067
revenue_per_user,0,long,control,2.854673
revenue_per_user,0,long,control,10.957743
revenue_per_user,0,long,control,42.786213
revenue_per_user,0,long,control,4.6634593
revenue_per_user,0,long,control,9.862638
revenue_per_user,0,long,control,2.7686472
revenue_per_user,0,long,control,3.8932636
revenue_per_user,0,long,control,7.879975
revenue_per_user,0,long,control,8.8261595
revenue_per_user,0,long,control,1.8616332
revenue_per_user,0,long,control,7.6788373
revenue_per_user,0,long,control,4.1601014
revenue_per_user,0,long,control,2.469229
revenue_per_user,0,long,control,7.7331147
revenue_per_user,0,long,control,1.0803521
revenue_per_user,0,long,control,8.644864
revenue_per_user,0,long,control,3.6167157
revenue_per_user,0,long,control,5.6248727
revenue_per_user,0,long,control,4.7579494
revenue_per_user,0,long,control,3.0626318
revenue_per_user,0,long,control,3.2684262
revenue_per_user,0,long,control,28.59361
revenue_per_user,0,long,control,4.8697495
revenue_per_user,0,long,control,5.1720004
revenue_per_user,0,long,control,3.508715
revenue_per_user,0,long,control,4.9918666
revenue_per_user,0,long,control,7.8403535
revenue_per_user,0,long,control,4.052439
revenue_per_user,0,long,control,3.6806386
revenue_per_user,0,long,control,10.682136
revenue_per_user,0,long,control,4.9860888
revenue_per_user,0,long,control,6.7541084
revenue_per_user,0,long,control,2.3406055
revenue_per_user,0,long,control,4.727336
revenue_per_user,0,long,control,5.0988245
revenue_per_user,0,long,control,14.33464
revenue_per_user,0,long,control,7.056666
revenue_per_user,0,long,control,9.213354
revenue_per_user,0,long,control,8.047743
revenue_per_user,0,long,control,5.0908737
revenue_per_user,0,long,control,90.40218
revenue_per_user,0,long,control,4.1260405
revenue_per_user,0,long,control,4.1304374
revenue_per_user,0,long,control,1.2286192
revenue_per_user,0,long,control,4.160145
revenue_per_user,0,long,control,4.1030617
revenue_per_user,0,long,control,30.80261
revenue_per_user,0,long,control,6.12002
revenue_per_user,0,long,control,4.675526
revenue_per_user,0,long,control,8.61533
revenue_per_user,0,long,control,2.4174647
revenue_per_user,0,long,control,4.9372325
revenue_per_user,0,long,control,17.359688
revenue_per_user,0,long,control,2.640224
revenue_per_user,0,long,control,6.4197273
revenue_per_user,0,long,control,9.282374
revenue_per_user,0,long,control,42.23323
revenue_per_user,0,long,control,6.4699416
revenue_per_user,0,long,control,6.262187
revenue_per_user,0,long,control,9.982729
revenue_per_user,0,long,control,6.040344
revenue_per_user,0,long,control,8.500973
revenue_per_user,0,long,control,7.828203
revenue_per_user,0,long,control,4.320694
revenue_per_user,0,long,control,4.0817914
revenue_per_user,0,long,control,4.575815
revenue_per_user,0,long,control,3.2865398
revenue_per_user,0,long,control,6.1546144
revenue_per_user,0,long,control,3.9814456
revenue_per_user,0,long,control,6.095349
revenue_per_user,0,long,control,66.87796
revenue_per_user,0,long,control,9.450094
revenue_per_user,0,long,control,3.5040514
revenue_per_user,0,long,control,2.935338
revenue_per_user,0,long,control,12.960442
revenue_per_user,0,long,control,2.9206626
revenue_per_user,0,long,control,4220.762
revenue_per_user,0,long,control,5.9687614
revenue_per_user,0,long,control,2.3477144
revenue_per_user,0,long,control,4.5666595
revenue_per_user,0,long,control,8.249056
revenue_per_user,0,long,control,15.304454
revenue_per_user,0,long,control,3.8843853
revenue_per_user,0,long,control,3.6949372
revenue_per_user,0,long,control,6.050702
revenue_per_user,0,long,control,4.751581
revenue_per_user,0,long,control,2.8869023
revenue_per_user,0,long,control,4.415202
revenue_per_user,0,long,control,4.2525597
revenue_per_user,0,long,control,4.706812
revenue_per_user,0,long,control,16.019745
revenue_per_user,0,long,control,11.349519
revenue_per_user,0,long,control,5.9602532
revenue_per_user,0,long,control,6.1163163
revenue_per_user,0,long,control,4.4325976
revenue_per_user,0,long,control,3.137162
revenue_per_user,0,long,control,4.173204
revenue_per_user,0,long,control,6.8981867
revenue_per_user,0,long,control,5.18475
revenue_per_user,0,long,control,3.8872974
revenue_per_user,0,long,control,2.0218081
revenue_per_user,0,long,control,29.72964
revenue_per_user,0,long,control,4.083726
revenue_per_user,0,long,control,12.682674
revenue_per_user,0,long,control,11.276547
revenue_per_user,0,long,control,13.804624
revenue_per_user,0,long,control,2.0066679
revenue_per_user,0,long,control,7.4838023
revenue_per_user,0,long,control,4.3100133
revenue_per_user,0,long,control,2.047283
revenue_per_user,0,long,control,1.2820337
revenue_per_user,0,long,control,137.61032
revenue_per_user,0,long,control,3.7348197
revenue_per_user,0,long,control,6.0947747
revenue_per_user,0,long,control,7.114197
revenue_per_user,0,long,control,7.502435
revenue_per_user,0,long,control,8.445784
revenue_per_user,0,long,control,3.204091
revenue_per_user,0,long,control,2.7841322
revenue_per_user,0,long,control,5.9393764
revenue_per_user,0,long,control,2.57177
revenue_per_user,0,long,control,2.9288223
revenue_per_user,0,long,control,6.0110245
revenue_per_user,0,long,control,4.885616
revenue_per_user,0,long,control,9.846421
revenue_per_user,0,long,control,29.454445
revenue_per_user,0,long,control,3.7955701
revenue_per_user,0,long,control,3.452968
revenue_per_user,0,long,control,7.5341763
revenue_per_user,0,long,control,4.285766
revenue_per_user,0,long,control,7.1175847
revenue_per_user,0,long,control,1.8455973
revenue_per_user,0,long,control,13.515627
revenue_per_user,0,long,control,3.7236168
revenue_per_user,0,long,control,4.680143
revenue_per_user,0,long,control,9.510692
revenue_per_user,0,long,control,7.135464
revenue_per_user,0,long,control,3.661595
revenue_per_user,0,long,control,5.7793493
revenue_per_user,0,long,control,5.651679
revenue_per_user,0,long,control,3.618068
revenue_per_user,0,long,control,7.513158
revenue_per_user,0,long,control,5.476781
revenue_per_user,0,long,control,6.5814004
revenue_per_user,0,long,control,5.028159
revenue_per_user,0,long,control,11.798352
revenue_per_user,0,long,control,4.7333584
revenue_per_user,0,long,control,2.712944
revenue_per_user,0,long,control,9.331132
revenue_per_user,0,long,control,7.423232
revenue_per_user,0,long,control,7.9510603
revenue_per_user,0,long,control,17.937939
revenue_per_user,0,long,control,3.2508833
revenue_per_user,0,long,control,4.3520384
revenue_per_user,0,long,control,2.0008676
revenue_per_user,0,long,control,9.604449
revenue_per_user,0,long,control,7.713912
revenue_per_user,0,long,control,9.764853
revenue_per_user,0,long,control,12990.113
revenue_per_user,0,long,control,6.859738
revenue_per_user,0,long,control,5.1430507
revenue_per_user,0,long,control,6.3291974
revenue_per_user,0,long,control,2.6182623
revenue_per_user,0,long,control,3.3009787
revenue_per_user,0,long,control,2.735987
revenue_per_user,0,long,control,10.05261
revenue_per_user,0,long,control,1.8824155
revenue_per_user,0,long,control,8.4990015
revenue_per_user,0,long,control,10.159824
revenue_per_user,0,long,control,2.0742807
revenue_per_user,0,long,control,3.1549685
revenue_per_user,0,long,control,19.473946
revenue_per_user,0,long,control,3.9884872
revenue_per_user,0,long,control,5.1642427
revenue_per_user,0,long,control,6.132271
revenue_per_user,0,long,control,4.223986
revenue_per_user,0,long,control,3.1679702
revenue_per_user,0,long,control,2.8249748
revenue_per_user,0,long,control,4.405051
revenue_per_user,0,long,control,2.6845257
revenue_per_user,0,long,control,2.3277392
revenue_per_user,0,long,control,4.598072
revenue_per_user,0,long,control,3.1021137
revenue_per_user,0,long,control,2.7839937
revenue_per_user,0,long,control,3.1005147
revenue_per_user,0,long,control,5.8409896
revenue_per_user,0,long,control,9.048057
revenue_per_user,0,long,control,5.0404634
revenue_per_user,0,long,control,7.2306166
revenue_per_user,0,long,control,5.1213274
revenue_per_user,0,long,control,2.6477046
revenue_per_user,0,long,control,7.2452483
revenue_per_user,0,long,control,5.7742147
revenue_per_user,0,long,control,5.6096706
revenue_per_user,0,long,control,8.766142
revenue_per_user,0,long,control,9.497222
revenue_per_user,0,long,control,4.2903714
revenue_per_user,0,long,control,5.234028
revenue_per_user,0,long,control,15.997514
revenue_per_user,0,long,control,1.9298081
revenue_per_user,0,long,control,13.792801
revenue_per_user,0,long,control,88.15474
revenue_per_user,0,long,control,7.160881
revenue_per_user,0,long,control,7.9244685
revenue_per_user,0,long,control,6.883187
revenue_per_user,0,long,control,21.905851
revenue_per_user,0,long,control,4.8853416
revenue_per_user,0,long,control,7.4301867
revenue_per_user,0,long,control,4.79512
revenue_per_user,0,long,control,4.1381454
revenue_per_user,0,long,control,3.1640825
revenue_per_user,0,long,control,3.5238
revenue_per_user,0,long,control,3.0247867
revenue_per_user,0,long,control,5.017184
revenue_per_user,0,long,control,6.3261557
revenue_per_user,0,long,control,5.8299623
revenue_per_user,0,long,control,14.065137
revenue_per_user,0,long,control,3.516596
revenue_per_user,0,long,control,3.3574593
revenue_per_user,0,long,control,5.6479087
revenue_per_user,0,long,control,3.970451
revenue_per_user,0,long,control,5.7868533
revenue_per_user,0,long,control,7.498752
revenue_per_user,0,long,control,3.0630748
revenue_per_user,0,long,control,1.8465393
revenue_per_user,0,long,control,5.085902
revenue_per_user,0,long,control,2.8366163
revenue_per_user,0,long,control,6.388341
revenue_per_user,0,long,control,3.5340564
revenue_per_user,0,long,control,7.866758
revenue_per_user,0,long,control,3.215728
revenue_per_user,0,long,control,3.409964
revenue_per_user,0,long,control,7.2067385
revenue_per_user,0,long,control,3.7576447
revenue_per_user,0,long,control,5.451664
revenue_per_user,0,long,control,7.1704884
revenue_per_user,0,long,control,3.0662491
revenue_per_user,0,long,control,4.1818786
revenue_per_user,0,long,control,3.2355795
revenue_per_user,0,long,control,5.8854585
revenue_per_user,0,long,control,2.253323
revenue_per_user,0,long,control,1.9601963
revenue_per_user,0,long,control,7.03671
revenue_per_user,0,long,control,3.583322
revenue_per_user,0,long,control,4.587219
revenue_per_user,0,long,control,6.9581003
revenue_per_user,0,long,control,6.015683
revenue_per_user,0,long,control,34.404472
revenue_per_user,0,long,control,2.3735461
revenue_per_user,0,long,control,5.216566
revenue_per_user,0,long,control,5.901295
revenue_per_user,0,long,control,11.485921
revenue_per_user,0,long,control,21.77294
revenue_per_user,0,long,control,28.223007
revenue_per_user,0,long,control,7.286526
revenue_per_user,0,long,control,14.484196
revenue_per_user,0,long,control,6.1993885
revenue_per_user,0,long,control,3.060349
revenue_per_user,0,long,control,4.3642097
revenue_per_user,0,long,control,7.897376
revenue_per_user,0,long,control,3.4048645
revenue_per_user,0,long,control,2.8078446
revenue_per_user,0,long,control,4.2176905
revenue_per_user,0,long,control,12.097845
revenue_per_user,0,long,control,4.2881546
revenue_per_user,0,long,control,5.532424
revenue_per_user,0,long,control,11.744546
revenue_per_user,0,long,control,4.2088428
revenue_per_user,0,long,control,6.0042634
revenue_per_user,0,long,control,5.9845576
revenue_per_user,0,long,control,5.9810963
revenue_per_user,0,long,control,14.165621
revenue_per_user,0,long,control,7.4149404
revenue_per_user,0,long,control,2.8660336
revenue_per_user,0,long,control,6.346145
revenue_per_user,0,long,control,3.653994
revenue_per_user,0,long,control,3.6719131
revenue_per_user,0,long,control,2.85644
revenue_per_user,0,long,control,2.6501584
revenue_per_user,0,long,control,12.353033
revenue_per_user,0,long,control,7.4996276
revenue_per_user,0,long,control,2.3160312
revenue_per_user,0,long,control,4.2449675
revenue_per_user,0,long,control,68.19767
revenue_per_user,0,long,control,2.9937232
revenue_per_user,0,long,control,5.997348
revenue_per_user,0,long,control,7.136124
revenue_per_user,0,long,control,7.188191
revenue_per_user,0,long,control,2.1690595
revenue_per_user,0,long,control,5.9515185
revenue_per_user,0,long,control,5.249465
revenue_per_user,0,long,control,64.186775
revenue_per_user,0,long,control,4.7715263
revenue_per_user,0,long,control,2.4128613
revenue_per_user,0,long,control,5.772175
revenue_per_user,0,long,control,5.0148993
revenue_per_user,0,long,control,6.53644
revenue_per_user,0,long,control,3.8799474
revenue_per_user,0,long,control,7.8541045
revenue_per_user,0,long,control,7.4677467
revenue_per_user,0,long,control,2.2683113
revenue_per_user,0,long,control,5.051664
revenue_per_user,0,long,control,3.8556504
revenue_per_user,0,long,control,5.225064
revenue_per_user,0,long,control,9.244326
revenue_per_user,0,long,control,8.160391
revenue_per_user,0,long,control,6.767226
revenue_per_user,0,long,control,6.135404
revenue_per_user,0,long,control,5.739514
revenue_per_user,0,long,control,10.016027
revenue_per_user,0,long,control,2.5621808
revenue_per_user,0,long,control,17.515335
revenue_per_user,0,long,control,5.4037213
revenue_per_user,0,long,control,3.776812
revenue_per_user,0,long,control,3.9400146
revenue_per_user,0,long,control,42.919865
revenue_per_user,0,long,control,5.095164
revenue_per_user,0,long,control,8.437486
revenue_per_user,0,long,control,6.6029177
revenue_per_user,0,long,control,5.362672
revenue_per_user,0,long,control,6.2830896
revenue_per_user,0,long,control,64.30204
revenue_per_user,0,long,control,8.408168
revenue_per_user,0,long,control,6.9624557
